"주택유형별","지역별","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월",
"종합","전국","매매수급동향","","86.10402457","87.21493283","88.62819645","92.33997081","93.3404577","92.10238232","90.41349463","89.56356242","92.22766856","95.66407676","95.61440125","94.53402212","95.25308423","96.23158964","96.6094377","95.43584273","95.22479045","95.72560573","95.7743621","97.18713539","99.17330223","100.2764112","99.41674697","98.95014455","99.22424545","99.84534797","102.007982","102.8865825","102.3821402","102.5767024","101.8844022","101.8824228","102.3653998","103.2541568","103.4105305","100.5621536","99.79018211","98.8341251","97.90380048","97.60095012","97.25257324","97.00712589","97.20704671","97.75930325","97.90836275","98.98644801","99.06233392","98.28037809","97.47561022","97.16232632","97.57991041","97.33264988","98.01162261","99.08680134","99.79495747","98.81942072","97.48130433","97.71855901","97.14535171","95.6661918","95.88175752","96.43847942","96.22478818","93.54802429","91.63792457","90.85251556","90.94249082","91.88535653","94.94826423","93.17125291","91.84599235","90.16270526","86.00101811","84.49021889","83.3503018","82.61762781","82.36673696","82.39764381","85.07563086","86.54461494","87.35636364","88.85090909","90.69636364","94.55312341","95.32787753","96.48160559","97.13041024","94.79383443","94.20831717","97.81006453","104.9314151","105.562608","104.7884344","104.5662906","107.0997884","111.2940762","112.7450635","114.0620592","112.2196756","109.395275","109.1308181","112.4717913","117.2709552","119.5419103","118.791423","110.6205328","100.5902101","96.57330994","95.15975306","94.02049127","94.85063149","95.59336351","94.94919954","94.16695547","92.36684212","89.68396656","87.09768248","83.71778211","78.21854018","74.57873078","76.05391121","77.14693446","79.76321353","82.35835095","85.49894292","86.96934461","88.11205074","89.61839323","90.89957717","90.70190275","89.26321353","87.87209302","87.66971144","87.61781192","88.26759394","89.44467511","90.70064355","92.04795516","93.97238945","95.15466058","94.88374507","94.35748391","93.69628399","92.90429728","92.67282541","92.96346274","93.4025327","93.51359767","93.49179988","94.7062487025","94.52460037","94.59206975","95.42038613","96.39505917","96.48121237","96.91716836",
"종합","수도권","매매수급동향","","74.11543435","74.88243593","76.39101282","82.18871481","84.27965603","83.12522087","80.80593849","79.65123129","83.61022741","88.41757983","87.81666078","86.67962767","87.89268516","89.59862385","90.87729358","89.08256881","89.46100917","90.12041284","90.59059633","92.2190367","95.83715596","96.99541284","95.68233945","94.98853211","95.03912008","96.394149","98.5429187","100.6236535","100.6576709","100.9184715","100.5376344","100.1312336","101.0541021","102.8913724","102.6543053","99.83066633","98.7850309","98.70036407","98.01032935","97.81136229","98.10346287","98.31512996","98.48869698","99.63169926","99.6188159","101.0867802","100.9002433","100.3000811","98.64557989","98.29278183","98.59286294","98.62463486","99.89445482","101.5499473","102.3330358","100.7664234","99.08759124","99.42822384","99.35928629","99.81734805","100.7811286","101.5428261","100.9210322","97.00761697","94.72252448","94.40385512","95.4570185","98.98958495","105.0132131","101.4884191","99.23441629","96.84050987","91.05187646","88.04273956","86.5400589","85.68677792","85.6905535","86.72128672","90.70452314","93.32855093","94.95128767","97.43977041","99.01820104","104.4098769","104.3633866","105.0610946","106.4755225","104.6128263","102.5558528","106.5071217","114.1545579","113.5617726","112.1267982","110.6159185","112.1087255","115.567845","118.2679101","120.9968915","118.2895973","113.8400925","114.4220343","119.2221499","123.4674767","125.9432669","123.983647","112.8928376","100.038827","95.28801791","92.9527595","91.56235724","92.60325292","93.99296515","92.98213551","91.78657896","89.7177051","86.62525123","83.39576101","78.89411657","73.4788964","69.55052074","71.16062269","72.55452964","76.08055667","79.72924751","83.94219189","86.17913377","88.00570944","89.62933226","90.73553682","90.13336902","88.09268924","86.37316562","86.05880554","86.73161781","87.8784569","89.53645856","91.58110883","94.66119097","97.43981825","99.1720914","98.57791952","97.7609332","96.70802569","95.50875967","95.28812967","95.69662283","97.00292717","97.07104819","97.48668658","99.6016798718","98.60587955","98.14694549","99.38303676","100.928692","100.2359614","100.779322",
"종합","지방","매매수급동향","","95.63551402","97.01869159","98.35046729","100.397382","100.5330092","99.22853937","98.04040782","97.43241979","99.06922357","101.4172123","101.8121371","100.7773719","101.1025057","101.5041021","101.1671378","100.4878716","99.80848153","100.1823653","99.88629128","101.1279905","101.8186778","102.8780577","102.3779213","102.0914795","102.5120257","102.5565651","104.7300909","104.6649439","103.7368609","103.8793871","103.0671425","103.4203286","103.5169901","103.5727563","104.0746524","101.2045505","100.6729125","98.95159491","97.81024611","97.41616477","96.50531638","95.85842814","96.08149305","96.11495278","96.40333976","97.13837151","97.4450471","96.50324698","96.44615714","96.16757065","96.68855267","96.19638907","96.35643423","96.92071648","97.56297724","97.10625847","96.06793692","96.21422964","95.19731678","91.79823291","91.31662804","91.68235805","91.84892816","90.32444959","88.76376014","87.54345307","86.73595017","85.26578795","85.56995944","85.42149479","84.96161645","83.94046929","81.31004979","81.19082685","80.38782523","79.7671646","79.27975314","78.38207448","79.84781541","80.24405639","80.30366786","80.87523669","82.96865138","85.39869556","86.71993388","88.30922865","88.23002755","85.44077135","86.25688705","89.5291202","96.14828583","97.94506402","97.80064707","98.8056722","102.3301439","107.2244786","107.4860604","107.4585255","106.4397329","105.1628003","104.0923797","106.0439182","111.6834171","113.769668","114.1094818","108.5715463","101.0874042","97.73232823","97.14956543","96.23702422","96.87718865","97.03641157","96.72283101","96.31338304","94.75592173","92.4425311","90.43578548","88.06738611","82.49237993","79.112777","80.4630039","81.2849162","83.08146779","84.72730196","86.90165186","87.68136329","88.20786946","89.60853663","91.04738556","91.21417949","90.31791327","89.22270005","89.12819904","88.42015743","88.61991219","89.36157589","89.90348483","89.68197461","90.83303667","91.51734504","91.53910051","91.27605712","90.96950279","90.54626004","90.30497211","90.48890471","90.14279498","90.23650939","89.81174969","90.1966258525","90.7649663","91.31735333","91.77003151","92.21872133","93.02237467","93.35939058",
"종합","6대광역시","매매수급동향","","86.03148971","86.54622527","87.84820347","90.79159935","92.6595315","92.04361874","89.94142597","89.25469602","91.0725106","96.5764492","96.33259244","95.64470493","95.25912839","95.97328619","96.09037328","95.04911591","94.97936726","96.33523286","96.62016113","98.67360975","99.94104932","101.6702692","101.5032423","99.28276675","99.97086813","100.7865605","103.9230919","103.6997475","103.2336376","103.4861138","102.731983","102.7633851","102.9989009","104.2078819","104.3491914","100.314021","99.70953054","97.68409483","96.33380436","96.33380436","96.41230962","96.53006751","96.39660857","96.55361909","95.63865291","98.08100728","98.35406553","96.86741505","96.45024272","96.07798513","96.44211804","96.78398058","97.04945388","97.70175971","97.68658981","98.74848301","97.6410801","97.23907767","97.1253034","92.88472146","92.51930502","93.05019305","93.62244898","90.83701048","88.996139","88.41009377","87.32763376","85.96938776","87.31384446","88.13430778","87.87231109","86.96911197","83.17152104","83.11084142","82.54449838","81.92421791","81.64104639","81.10841424","82.07928803","82.49056095","83.74460626","84.77615965","88.80124056","91.91612729","93.03246239","94.53021906","94.77434679","91.5874901","92.10213777","94.22011085","98.92451834","99.31380311","100.0923605","102.3156089","107.2041166","112.8183138","112.4488719","114.1113603","112.2113735","109.5197256","108.0815411","110.9447157","115.3494343","117.3313006","116.8177806","109.3877879","99.04116184","96.26093236","94.52780229","93.05087466","92.97238722","93.91799727","93.10759849","92.71326539","90.13400738","87.13185138","84.09291503","81.67776619","75.61582284","71.60394769","73.80933669","74.74457718","77.22021377","79.79408991","82.81986797","83.89264382","84.29177469","86.23615366","87.89771388","87.78772881","85.85120591","84.85348417","85.04375192","84.19174087","84.78661345","85.40067547","86.67485416","86.8782622","87.95670863","89.23088732","89.23088732","88.43644458","87.97206018","87.16994166","86.88210009","87.24286153","86.81301811","87.22711605","86.91689008","87.4798927614","87.79011873","88.86250479","89.72424358","90.57449253","92.12179242","92.45116813",
"종합","5대광역시","매매수급동향","","92.10657993","92.4068051","93.85789342","97.15965966","98.74874875","97.61011011","95.35669587","95.19399249","97.04630788","100.6758448","100.3130478","99.58667335","99.34194492","99.92682927","99.20712369","98.41424738","97.71839922","99.03611518","99.32894095","101.4397267","102.7208394","104.5632016","104.3313812","101.7325525","102.504817","102.9022158","106.6112717","105.8766859","105.322736","105.322736","104.2296369","104.2787046","104.5240432","105.9077527","106.0843965","101.0402355","100.1864573","97.7232581","96.07458292","96.00588813","96.07458292","96.19234544","96.38861629","96.60451423","96.10230276","98.06530766","98.66930917","96.88561721","96.37599094","96.50745705","96.90390787","96.94224236","96.9988675","97.6406191","97.86711967","98.23518309","96.97999245","96.43261608","96.19667799","91.17141876","90.67330814","91.33459292","91.98728959","89.70285125","88.05393336","87.31535555","86.19890072","84.82480247","85.81243559","86.4908966","85.28856063","83.94022673","80.42345824","80.70072257","80.08738027","79.44883213","79.05394051","78.66745085","79.64207696","80.17139976","80.83515376","81.85178962","86.90136112","90.32935641","91.40547674","92.708677","91.8508743","87.57010887","88.15572418","90.99307159","96.83272847","98.25965028","99.50519545","101.4596734","107.0262246","113.6895926","113.1535543","113.7638133","111.4464786","107.8921326","105.9706416","108.2055088","113.7307536","115.4426661","114.2929498","108.2860616","98.39951378","95.2441248","93.76012966","92.44327391","92.79416236","93.30935981","92.82313614","92.44250836","90.37584844","87.37082067","84.85615883","82.68334684","76.25101297","72.21940843","74.3943606","75.16878475","77.57644956","79.50754567","82.32227959","83.07188245","83.50203434","85.59591148","87.42185174","87.47146968","85.80926863","84.62836162","84.89072365","83.48712967","84.09907722","84.72073822","85.55123847","85.18212725","86.35259835","86.92569208","87.57649344","86.73627975","86.72170957","86.33317144","85.75522098","86.18746965","85.72608062","85.48653641","85.11713814","85.7392825897","86.32254302","87.60571595","88.06746379","88.69932925","90.15748031","90.53173909",
"종합","9개도","매매수급동향","","90.02528673","91.5199133","93.01905536","96.2733761","96.65702927","95.36501626","94.32444645","93.22638952","95.54410701","98.20137383","98.29566004","97.66726944","98.6345559","99.14257933","99.7701759","98.48833098","98.15682461","98.19660537","97.89278787","99.15358843","101.2563922","101.8338917","101.0844648","101.366602","101.3307985","101.4085724","103.2665054","104.3309129","103.7763567","103.7547529","102.8838741","102.8838741","103.0100217","103.8019483","103.9561287","101.1283201","100.6167216","100.0840984","99.39729483","98.96629056","98.2514542","97.48055225","97.65225314","97.95010162","98.02145094","98.48111385","98.56095936","98.07807608","97.44187596","97.18539738","97.39857438","97.1013527","97.07352843","97.20463784","98.09089092","97.63173673","96.82899207","97.27200053","96.32935847","94.65913873","94.38911488","95.05190069","95.11502314","93.60008416","92.12372002","90.86477767","90.80516201","90.87529808","92.67428812","91.63276757","91.23649881","89.84429794","86.8574688","85.98510267","84.32760703","83.64313515","83.16668904","83.04589988","85.04898671","85.66299826","85.83557047","86.19463087","86.88926174","89.24640988","90.86488251","93.26132359","94.45822454","93.28090328","93.32658922","96.75104384","103.6431833","104.4911937","103.6888454","104.0215264","105.8219178","109.6868885","111.6079583","113.0300065","112.0808871","109.5759948","109.6183953","112.4624918","117.8837643","120.1277273","119.4910319","111.646867","101.867381","97.57532226","96.74638919","95.97181239","96.87451468","97.33858757","96.72414463","96.17788648","94.71967697","92.08922193","89.89051945","86.31299014","81.15342806","77.76613091","78.79338405","80.01021914","82.26221566","84.59369441","87.27338102","88.73623254","90.0628407","91.38400969","92.61621744","92.54807692","91.53732586","90.19344337","89.79713382","89.94044296","90.07630746","91.10180532","92.01935604","92.93318444","94.60078169","95.94267634","95.73050437","95.5053043","94.90601154","94.33091383","94.3364973","94.28438489","94.80923134","94.82874287","94.58462227","95.4735194365","95.67664269","95.45488428","95.8406321","96.69971302","96.50218031","96.85811189",
"종합","8개도","매매수급동향","","97.42518609","99.58225733","100.8810573","102.2343821","101.4898145","100.1368197","99.58941606","98.71502433","100.2509506","101.8631179","102.6632172","101.468574","102.277139","102.3973114","102.2852875","101.6880789","101.0008963","100.8216313","100.3271862","101.041047","101.5690065","101.8738846","101.3831053","102.4687686","102.9780108","102.5993884","103.8517548","104.2911263","103.1891656","103.385758","102.6991483","103.2753006","103.2753006","102.5488477","103.2189379","101.6595691","101.2462425","99.91232465","98.97294589","98.36548096","96.83116232","95.60996994","95.80410822","95.58491984","96.23941959","96.191052","96.26315153","95.99153567","96.23941959","95.93107618","96.29987908","95.44135429","95.11973875","95.30229746","96.02781137","95.56831923","95.24183797","95.56831923","94.32889964","91.56413613","91.0078534","91.32853403","91.0013089","89.7513089","88.51439791","86.86518325","86.19764398","84.67277487","84.43717277","83.71727749","83.90052356","83.12827225","80.79302942","80.57204192","79.51130193","79.19560551","78.84202551","77.70551837","79.504988","79.57444122","79.07564086","79.20191943","79.24611693","80.95087764","82.42755876","84.01715778","84.52070123","82.83600647","83.99850802","87.65685178","94.53969437","96.69524164","95.36588396","95.57709032","97.95005591","101.7828302","102.8450739","102.5034166","102.4350851","102.9196173","102.9879488","105.2118276","110.8992315","113.3268692","114.5658263","109.1862386","103.1889679","99.87429064","99.69472777","99.02305869","99.81684982","99.820441","99.71980746","99.28176399","98.04252568","96.25745277","94.61322991","92.07785678","87.38059326","84.65847878","85.33277405","85.95847315","86.74496644","87.90548098","89.68819911","90.47818792","91.14973075","92.23372264","93.43310721","93.75131128","93.39464298","92.34212183","92.04325594","91.8221393","91.8221393","92.65823659","93.05210061","92.86553344","94.06440022","94.7830293","94.35807076","94.50317855","93.99875622","93.49087894","93.52542841","93.53579326","93.28012714","93.23339871","92.74306528","93.0442701037","93.67119641","93.64317736","94.14051555","94.47674419","94.80947044","95.11768002",
"종합","서울","매매수급동향","","70.89869281","71.82085649","73.16633923","79.95399277","81.82714427","79.88826816","76.47928994","76.26561473","81.67324129","84.71400394","84.33596318","81.03221565","82.83006746","85.6155577","85.53519769","84.53873353","84.52266152","85.35840566","86.66023787","87.59241401","90.82288653","92.22115076","90.18000643","89.76213436","90.96888033","92.86172602","94.56207892","96.85595124","96.61533526","97.44947064","97.85983067","97.82455315","99.90592662","100.8349012","100.9172154","99.63546566","97.55409219","96.68391345","95.355127","95.02587018","95.31984948","96.16650988","96.87206021","98.65945437","100.4656577","101.653085","101.3038417","100.8265425","98.78928987","98.81257276","99.56926659","98.56743536","101.3519814","105.7898416","106.640261","101.6880093","99.1967404","99.1967404","99.79045402","101.9821503","104.4209215","105.0020756","102.5633043","96.04607721","93.12992943","93.37899543","95.58945621","102.781237","112.3391449","104.4520548","98.83769199","95.0705687","86.14181439","80.61522419","79.97914494","79.39520334","80.25026069","81.93952033","89.39520334","94.86965589","96.8717414","102.5026069","104.8175182","114.6402503","111.8546465","108.3300238","107.9725973","103.395552","99.3943606","105.8876092","116.8685465","117.2359015","113.9396346","108.121525","109.8788721","113.3141382","116.4912629","117.3451152","112.7581414","108.7073074","110.1370135","116.6004766","119.9705331","122.970801","121.0688454","110.0388428","99.10259845","94.26657736","90.87498325","88.94172806","90.95659164","92.53951246","92.21805518","89.93436914","88.15965711","85.87597107","82.67479239","78.24805786","73.02437718","69.48165015","71.1503268","71.66666667","74.74509804","77.81699346","82.91503268","85.09803922","87.02614379","88.77124183","89.64052288","88.95424837","86.83006536","84.56862745","84.43256473","85.07664563","87.80110782","90.49336597","93.04392632","97.78436172","102.1834342","102.6085276","101.6617287","100.5217055","99.31083344","97.64910473","96.76027309","98.1321654","99.80033492","98.96449704","100.1736558","103.8204270646","101.562902","100.8103936","103.2287111","104.8816568","103.4473887","104.3413944",
"종합","강북권역","매매수급동향","","72.45341615","73.85093168","74.56467662","75.51337897","76.60236465","76.41568139","76.77459527","76.86799502","77.95765878","78.82938979","78.05105853","75.373599","76.63808941","77.74035517","77.83221066","77.21984078","77.70973668","79.0263319","79.0569504","79.94488671","83.64972443","85.27250459","83.55786895","84.23147581","84.91142334","87.9352474","89.98167379","92.18081857","92.18081857","92.57788638","94.02951699","93.5822898","96.17620751","98.45706619","99.64221825","96.8470483","94.00715564","93.29159213","91.41323792","91.23434705","91.12254025","91.63685152","91.77101968","92.91144902","95.80745342","95.5190772","95.65217391","95.27506655","93.85536823","94.27684117","95.27506655","96.84724689","97.26788094","102.5544203","103.8649489","98.93522626","96.71694765","95.47471162","95.20851819","95.45637314","96.84358665","98.71330921","98.33132288","90.79211902","88.41978287","90.45034178","92.98351427","98.65299558","107.5190993","102.6336952","98.23080016","96.78327302","85.04446241","80.61843169","80.11317704","79.78981407","80.61843169","81.30557801","88.15683104","93.06790622","95.39207761","99.41390461","101.7784964","109.0743735","107.159309","107.8694818","106.487524","100.7485605","96.96737044","104.6257198","116.9673704","117.7543186","114.7216891","110.5758157","111.074856","115.0863724","118.0998081","118.7715931","113.2629559","108.1573896","109.328215","116.084453","119.1628264","122.5166411","119.8796723","106.3108039","99.07834101","93.87964149","90.45605944","88.36107554","90.63780738","91.71786994","90.6938044","87.53200205","84.88223246","82.55248336","79.27547363","76.44649258","72.70865335","69.44444444","73.04043934","74.43834249","77.23414878","80.11732401","84.19870195","85.05991013","86.94458313","87.71842237","87.98052921","87.18172741","85.29705442","83.23764353","82.91154791","83.25552826","86.25307125","88.95577396","92.21130221","98.05896806","101.4250614","101.9287469","101.4250614","100.2702703","99.04176904","96.89189189","95.44226044","95.85995086","97.57985258","97.19764012","97.50491642","101.1922320551","99.29941003","99.07817109","102.3352999","104.2035398","102.5196657","103.8348083",
"종합","도심권","매매수급동향","","59.87654321","59.87654321","59.87654321","59.87654321","59.87654321","59.56790123","62.96296296","62.96296296","62.96296296","63.58024691","63.58024691","63.58024691","63.85542169","64.15662651","65.36144578","65.6626506","65.6626506","65.6626506","66.86746988","67.77108434","70.18072289","74.39759036","76.65662651","79.6686747","80.57228916","81.02409639","81.02409639","81.02409639","83.13253012","82.22891566","82.37597911","81.9843342","80.54830287","81.5926893","82.50652742","80.67885117","80.54830287","80.54830287","80.54830287","80.28720627","80.28720627","80.28720627","80.80939948","88.64229765","99.8694517","97.38903394","97.25848564","96.08355091","92.95039164","92.95039164","93.47258486","98.95561358","99.08616188","109.3994778","112.0104439","106.1357702","99.21671018","94.90861619","93.47258486","104.8888889","107.6666667","110.3333333","110.2222222","92.22222222","88.88888889","97.77777778","98.22222222","115.1111111","119.7777778","115.7777778","108.3333333","106.2222222","89.36403509","74.12280702","74.23245614","75","76.31578947","79.60526316","78.39912281","85.96491228","88.15789474","91.3377193","96.49122807","108.9912281","104.5081967","104.5081967","104.2008197","95.90163934","91.49590164","97.43852459","116.1885246","117.6229508","114.4467213","109.8360656","110.6557377","114.2418033","117.2131148","118.545082","111.9877049","108.9139344","111.5778689","118.1352459","112.3558484","116.062603","118.8632619","107.0016474","103.2948929","94.06919275","91.00660066","88.30313015","91.68039539","93.41021417","92.91598023","91.3509061","87.56177924","85.09060956","81.38385502","78.33607908","75.45304778","72.73476112","75","77.08333333","79.88782051","82.7724359","83.41346154","85.25641026","88.62179487","90.38461538","91.02564103","90.86538462","89.58333333","88.14102564","86.67192429","87.30283912","88.80126183","91.40378549","94.32176656","98.58044164","102.5236593","101.9716088","101.8927445","101.1829653","100.3154574","99.36908517","99.29022082","101.2618297","102.9179811","102.1394612","102.3771791","106.3391442155","103.5657686","102.614897","107.7654517","110.459588","106.8938193","107.1315372",
"종합","동북권","매매수급동향","","82.51396648","84.58100559","84.91620112","86.96868009","88.53467562","88.08724832","87.62597984","88.12989922","90.08958567","91.43337066","90.03359462","85.21836506","86.96132597","89.06077348","88.72928177","87.18232044","88.2320442","90.49723757","90.11049724","91.38121547","95.41436464","96.79558011","92.81767956","92.9281768","93.8121547","98.72928177","101.5469613","104.0883978","103.4254144","104.198895","105.8319739","104.9755302","109.1353997","112.3572594","113.7846656","109.2577488","104.2006525","100.6117455","97.0228385","96.77814029","96.49265905","96.9004894","96.9004894","96.65579119","97.21998388","97.34085415","97.05882353","97.05882353","96.29331185","95.89041096","96.0918614","95.80983078","96.28432956","99.07108239","101.7770598","97.21998388","96.05157131","94.96373892","94.56083803","92.67209474","92.48704663","94.15247964","93.30125833","88.41598816","88.56402665","91.30273871","93.67135455","96.18800888","108.4381939","103.5899334","100.6291636","99.22279793","89.87915408","88.97280967","88.17975831","87.8021148","88.67069486","87.61329305","94.33534743","97.99848943","100.4531722","105.3625378","106.3066465","111.3670695","109.6472282","110.7991361","107.9553636","103.0237581","98.70410367","108.2793377","121.0583153","122.1022318","117.8545716","113.1389489","113.3909287","118.6105112","122.2822174","123.3261339","119.0784737","112.2390209","112.9589633","122.5701944","126.4179756","128.4685864","122.600349","107.7443281","98.88743455","94.17539267","90.02618944","88.32897033","90.00436491","90.96858639","89.94328098","86.43106457","83.11518325","80.54101222","77.29057592","74.34554974","71.02966841","68.60820244","73.07200682","74.77631018","78.07839795","81.16744781","86.42948445","86.59991478","87.13250959","87.04729442","86.53600341","85.53472518","83.23391564","80.72006817","80.57070919","81.47293328","84.30549727","86.76038607","90.55812002","97.18841796","100.2098196","101.4897188","100.6924045","99.20268569","97.69198489","94.77549308","92.65631557","92.65631557","94.64960134","94.05212274","94.05212274","98.087431694","96.91046658","97.24674233","99.60067255","101.6393443","100.9667928","102.5430853",
"종합","서북권","매매수급동향","","59.84654731","60.86956522","62.98200514","62.21079692","63.11053985","63.62467866","63.36760925","62.59640103","62.59640103","62.59640103","62.59640103","62.59640103","63.76262626","63.25757576","63.38383838","64.14141414","63.76262626","64.01515152","64.01515152","64.01515152","68.05555556","68.05555556","68.18181818","68.18181818","68.375","69.25","71.25","74.5","74.25","74.875","78.07017544","78.3891547","80.38277512","81.57894737","82.45614035","82.45614035","82.29665072","86.76236045","87.08133971","87.08133971","87.24082935","88.27751196","88.43700159","88.19776715","90.55555556","90.79365079","91.9047619","91.26984127","89.6031746","91.9047619","94.76190476","97.61146497","98.0952381","105.2380952","103.015873","97.93650794","96.50793651","96.82539683","97.53968254","94.75218659","98.32361516","100.0728863","100.4373178","94.5335277","87.82798834","83.96501458","88.19241983","92.71137026","97.66763848","92.12827988","86.88046647","85.78717201","72.98270893","68.9481268","68.58789625","67.65129683","68.08357349","70.38904899","82.78097983","88.32853026","90.48991354","93.37175793","96.61383285","104.7550432","104.1895604","104.532967","105.2197802","99.65659341","97.32142857","102.4725275","109.6840659","109.5467033","108.9285714","106.1813187","106.9368132","108.9285714","110.7142857","110.2335165","103.021978","99.86263736","100.8928571","102.3351648","106.7527309","112.8599801","114.2999007","102.6315789","96.97120159","93.09145129","91.10337972","88.46918489","91.45129225","92.40317776","91.06256207","87.73584906","87.28897716","85.60079444","82.52234359","80.08937438","74.87586892","69.36444886","71.78743961","72.07729469","73.71980676","76.1352657","79.61352657","81.44927536","85.50724638","87.63285024","89.42028986","88.69565217","87.39130435","85.99033816","85.94491928","84.85280152","89.12630579","92.45014245","94.68186135","99.71509972","103.5137702","102.8964862","102.8015195","102.1367521","101.3295347","100.1899335","99.43019943","99.85754986","100.997151","101.3232514","102.362949","105.1039697543","102.1266541","101.0869565","105.2457467","106.2381853","103.4026465","104.7731569",
"종합","강남권역","매매수급동향","","69.17241379","69.56521739","71.61134163","84.92339833","87.67409471","83.77437326","76.14902507","75.59192201","85.82869081","91.29526462","91.36490251","87.36072423","89.66216216","94.31664411","94.04600812","92.62516915","92.05006766","92.35453315","95.0608931","96.04194858","98.74830853","99.8985115","97.49661705","95.87280108","97.66891892","98.31081081","99.62837838","102.027027","101.5202703","102.8378378","102.1081349","102.5297619","104.0426587","103.4722222","102.3313492","102.7281746","101.4880952","100.4464286","99.72718254","99.23115079","99.97519841","101.1904762","102.5297619","105.0347222","105.6099951","108.4272415","107.5453209","106.9573738","104.2381186","103.8216561","104.311612","100.4654581","105.860716","109.3581578","109.7011269","104.7280745","101.9353258","103.3072024","104.8505634","108.9446589","112.5053625","111.7117117","107.0785071","101.6516517","98.15529816","96.5036465","98.36979837","107.1857572","117.4817675","106.3921064","99.48519949","93.24324324","87.31150366","80.61180526","79.83627747","78.97457992","79.85781991","82.61525205","90.71520896","96.79017665","98.44894442","105.794916","108.056872","120.5730289","116.8860551","108.8235294","109.5639654","106.2320033","101.9950638","107.239819","116.7626491","116.6803784","113.1016043","105.4915673","108.5972851","111.4150555","114.7675854","115.8165364","112.2171946","109.2965858","111.0037022","117.1534348","120.8567416","123.4691011","122.3735955","114.1292135","99.12921348","94.69101124","91.33426966","89.57865169","91.30617978","93.44101124","93.89044944","92.57022472","91.75561798","89.52247191","86.40449438","80.2247191","73.37078652","69.52247191","69.07244786","68.61964874","72.00878156","75.2881449","81.50384193","85.13995609","87.11580681","89.92864984","91.46542261","90.90285401","88.51536773","86.03183315","86.10885459","87.08367181","89.50717574","92.1879231","93.96154888","97.48172218","103.0192256","103.3577038","101.9225562","100.7988086","99.60736529","98.48361766","98.21283509","100.636339","102.2474953","100.9039396","103.1030761","106.7053426875","104.0474906","102.7118187","104.2093902","105.6260119","104.4657312","104.8974636",
